20140723,595.9800,597.8500,592.5000,593.2300,1229800
20140724,593.3500,599.5000,591.7700,596.4500,1032300
20140725,589.0200,591.8600,587.0300,590.4000,929900
20140728,590.6000,592.5000,584.7530,588.0700,984100
20140729,585.6100,589.7000,583.5150,588.7500,1346200
20140730,587.4200,589.5000,584.0000,586.5500,1013700
20140731,571.6000,583.6500,570.0000,580.6000,2097000
20140801,566.0700,575.9600,562.8500,570.4000,1949900
20140804,573.1500,575.3500,564.1000,569.0400,1423400
20140805,565.0700,571.9800,562.6100,570.0500,1547000
20140806,566.3740,570.7000,560.0000,561.7800,1330700
20140807,563.3600,569.8900,561.1000,568.0000,1107900
20140808,568.7700,570.2500,560.3500,563.5600,1490700
20140811,567.8800,570.4900,566.0000,569.9900,1211400
20140812,562.7300,565.9000,560.8800,564.5200,1537800
20140813,574.7800,575.0000,565.7500,567.3100,1437900
20140814,574.6500,577.9000,570.8800,576.1800,982800
20140815,573.4800,579.3800,570.5200,577.8600,1515000
20140818,582.1600,584.5100,576.0000,576.1100,1280600
20140819,586.8600,587.3400,584.0000,585.0000,976000
20140820,584.4900,586.7000,582.5700,585.8800,1033900
20140821,583.3700,584.5000,581.1400,583.8200,912300
20140822,582.5600,585.2360,580.6400,583.5900,786900
20140825,580.2000,585.0000,579.0000,584.7200,1357700
20140826,577.8600,581.8000,576.5800,581.2600,1635200
20140827,571.0000,578.4900,570.1030,577.2700,1698700
20140828,569.2000,573.2500,567.1000,569.5600,1289400
20140829,571.6000,572.0400,567.0690,571.3300,1080800
20140902,577.3300,577.8300,571.1900,571.8500,1574100
20140903,577.9400,582.9900,575.0000,580.0000,1211800
20140904,581.9800,586.0000,579.2200,580.0000,1454200
20140905,586.0800,586.5500,581.9500,583.9800,1627900
20140908,589.7200,591.7700,586.3000,586.6000,1427100
20140909,581.0100,589.0000,580.0000,588.9000,1283700
20140910,583.1000,583.5000,576.9400,581.5000,974700
20140911,581.3500,581.8100,576.2600,580.3600,1217700
20140912,575.6200,581.6400,574.4600,581.0000,1597300
20140915,573.1000,574.9500,568.2100,572.9400,1593200
20140916,579.9500,581.5000,572.6600,572.7600,1476300
20140917,584.7700,587.5200,578.7750,580.0100,1688200
20140918,589.2700,589.5400,585.0000,587.0000,1440600
20140919,596.0800,596.4800,589.5000,591.5000,3726400
20140922,587.3700,593.9490,583.4600,593.8200,1684900
20140923,581.1300,586.8500,581.0000,586.8500,1467400
20140924,587.9900,589.6300,580.5200,581.4600,1723400
20140925,575.0600,587.9800,574.1800,587.5500,1920700
20140926,577.1000,579.2500,574.6600,576.0600,1439700
20140929,576.3600,578.1900,571.1700,571.7500,1278900
20140930,577.3600,579.8500,572.8500,576.9300,1617300
20141001,568.2700,577.5800,567.0100,576.0100,1441500
20141002,570.0800,571.9100,563.3200,567.3100,1175200
20141003,575.2800,577.2250,572.5000,573.0500,1138600
20141006,577.3500,581.0000,574.4400,578.8000,1211300
20141007,563.7400,575.2700,563.7400,574.4000,1906100
20141008,572.5000,573.8800,557.4900,565.5700,1985400
20141009,560.8800,571.4900,559.0600,571.1800,2517900
20141010,544.4900,565.1300,544.0500,557.7200,3073500
20141013,533.2100,549.5000,533.1000,544.9900,2574600
20141014,537.9400,547.1900,533.1700,538.9000,2216500
20141015,530.0300,532.8000,518.3000,531.0100,3709200
20141016,524.5100,529.4300,515.0000,519.0000,3698400
20141017,511.1700,530.9800,508.5300,527.2500,5524200
20141020,520.8400,521.7600,508.1000,509.4500,2600400
20141021,526.5400,526.7900,519.1100,525.1900,2329900
20141022,532.7100,539.8000,528.8000,529.8900,2911300
20141023,543.9800,547.2200,535.8500,539.3200,2342400
20141024,539.7800,544.8800,535.7900,544.3600,1967700
20141027,540.7700,544.4100,537.0300,537.0300,1182100
20141028,548.9000,548.9800,541.6200,543.0000,1267500
20141029,549.3300,554.1900,546.9800,550.0000,1765700
20141030,550.3100,552.8000,543.5100,548.9500,1451500
20141031,559.0800,559.5700,554.7500,559.3500,2029500
20141103,555.2200,557.9000,553.2300,555.5000,1378500
20141104,554.1100,555.5000,549.3000,553.0000,1240800
20141105,545.9200,556.8000,544.0500,556.8000,2026700
20141106,542.0400,546.8850,540.9700,545.5000,1329600
20141107,541.0100,546.2100,538.6700,546.2100,1629300
20141110,547.4900,549.5900,541.0200,541.4600,1131500
20141111,550.2900,551.9400,546.3000,548.4900,962900
20141112,547.3100,550.4600,545.1700,550.3900,1126300
20141113,545.3800,549.8000,543.4800,549.8000,1335700
20141114,544.4000,546.6800,542.1500,546.6800,1285700
20141117,536.5100,543.7900,534.0610,543.5800,1721100
20141118,535.0300,541.9400,534.1700,537.5000,1957300
20141119,536.9900,538.2400,530.0800,535.0000,1387800
20141120,534.8300,535.1100,531.0800,531.2500,1557700
20141121,537.5000,542.1400,536.5600,541.6100,2217600
20141124,539.2700,542.7000,535.6200,537.6500,1701300
20141125,541.0800,543.9800,538.6020,539.0000,1784200
20141126,540.3700,541.5500,537.0420,540.8800,1518800
20141128,541.8300,542.0000,536.6000,540.6200,1145200
20141201,533.8000,541.4100,531.8600,538.9000,2109600
20141202,533.7500,535.5000,529.8000,533.5100,1521600
20141203,531.3200,535.9960,529.2600,531.4400,1274500
20141204,537.3100,537.3400,528.5900,531.1600,1388300
20141205,525.2600,532.8900,524.2800,531.0000,2558600
20141208,526.9800,531.0000,523.7900,527.1300,2323000
20141209,533.3700,534.1900,520.5000,522.1400,1866200
20141210,526.0600,536.3300,525.5600,533.0800,1707600
20141211,528.3400,533.9200,527.1000,527.8000,1606400
20141212,518.6600,528.5000,518.6600,523.5100,1989100
20141215,513.8000,523.1000,513.2700,522.7400,2805700
20141216,495.3900,513.0500,489.0000,511.5600,3953400
20141217,504.8900,507.0000,496.8100,497.0000,2875300
20141218,511.1000,513.8700,504.7000,512.9500,2918700
20141219,516.3500,517.7200,506.9110,511.5100,3680100
20141222,524.8700,526.4600,516.0800,516.0800,2716300
20141223,530.5900,534.5600,526.2900,527.0000,2191600
20141224,528.7700,531.7590,527.0200,530.5100,704000
20141226,534.0300,534.2500,527.3100,528.7700,1033200
20141229,530.3300,535.4800,530.0110,532.1900,2272300
20141230,530.4200,531.1500,527.1300,528.0900,873900
20141231,526.4000,532.6000,525.8000,531.2500,1364500
20150102,524.8100,531.2700,524.1000,529.0100,1443600
20150105,513.8700,524.3300,513.0600,523.2600,2054200
20150106,501.9600,516.1750,501.0500,515.0000,2892000
20150107,501.1000,507.2440,499.6500,507.0000,2059400
20150108,502.6800,503.4800,491.0000,497.9900,3344400
20150109,496.1700,504.9200,494.7900,504.7600,2063700
20150112,492.5500,495.9760,487.5600,494.9400,2316000
20150113,496.1800,502.9800,492.3900,498.8400,2364000
20150114,500.8700,503.2300,493.0000,494.6500,2229600
20150115,501.7900,505.6800,497.7600,505.5700,2708400
20150116,508.0800,508.1900,500.0000,500.0100,2292000
20150120,506.9000,512.5000,506.0160,511.0000,2221800
20150121,518.0400,519.2800,506.2000,507.2500,2262500
20150122,534.3900,536.3300,519.7000,521.4800,2669600
20150123,539.9500,542.1700,533.0000,535.5900,2275500
20150126,535.2100,539.0000,529.6700,538.5300,1539500
20150127,518.6300,530.7000,518.1900,529.9700,1898800
20150128,510.0000,522.9900,510.0000,522.7800,1679200
20150129,510.6600,511.0900,501.2000,511.0000,4174900
20150130,534.5200,539.8700,515.5200,515.8600,5591000
20150202,528.4800,533.0000,518.5500,531.7300,2842000
20150203,529.2400,533.4000,523.2600,528.0000,2033100
20150204,522.7600,532.6720,521.2700,529.2400,1659100
20150205,527.5800,528.5000,522.0900,523.7900,1844700
20150206,531.0000,537.2000,526.4100,527.6400,1744600
20150209,527.8300,532.0000,526.0200,528.0000,1264300
20150210,536.9400,537.7000,526.9200,529.3000,1745100
20150211,535.9700,538.4500,533.3780,535.3000,1374000
20150212,542.9300,544.8200,534.6730,537.2500,1615800
20150213,549.0100,549.9100,543.1300,543.3500,1895100
20150217,542.8400,550.0000,541.0900,546.8300,1612400
20150218,539.7000,545.4900,537.5100,541.4000,1449100
20150219,542.8700,543.1100,538.0100,538.0400,986400
20150220,538.9500,543.7500,535.8000,543.1300,1440400
20150223,531.9100,536.4390,529.4100,536.0500,1453900
20150224,536.0900,536.7900,528.2500,530.0000,1002300
20150225,543.8700,546.2200,535.4450,535.9000,1821000
